                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8108,                 2.2769,                 1.8184,                0.51026,                0.42276,                0.44812,                0.26567,                 1.6844,                  2.573,                 1.7267,               0.070013,              0.0033319,              0.0033319
                      1,                 1.6721,                 1.8731,                 1.6645,                  0.475,                0.44204,                0.44323,                 0.2655,                 1.6489,                  2.485,                  1.687,               0.039947,              0.0065993,              0.0065993
                      2,                 1.7281,                 1.9535,                 1.7101,                0.46638,                0.42343,                  0.435,                0.25714,                 1.7068,                 2.7169,                 1.6912,              0.0098147,              0.0098006,              0.0098006
                      3,                 1.7535,                 1.9862,                 1.7414,                0.47791,                0.46656,                0.46118,                0.27338,                 1.6681,                 2.3204,                 1.6954,               0.009703,               0.009703,               0.009703
                      4,                 1.6975,                 1.9064,                 1.7054,                0.51787,                 0.4722,                0.49449,                0.30192,                 1.5962,                 1.9713,                 1.6597,               0.009703,               0.009703,               0.009703
                      5,                 1.6445,                  1.823,                 1.6658,                0.54484,                0.46758,                0.50602,                0.31325,                  1.583,                 2.0945,                 1.6349,               0.009604,               0.009604,               0.009604
                      6,                 1.6159,                 1.7734,                 1.6426,                 0.5556,                0.50412,                0.53004,                0.33587,                 1.5478,                 1.8042,                 1.6388,               0.009505,               0.009505,               0.009505
                      7,                 1.5987,                 1.7502,                 1.6347,                 0.5638,                0.49478,                0.53927,                0.34251,                 1.5198,                 1.8313,                 1.5937,               0.009406,               0.009406,               0.009406
                      8,                 1.5751,                 1.7158,                 1.6151,                0.57275,                0.49502,                0.54512,                0.35013,                 1.5089,                 1.6943,                  1.594,               0.009307,               0.009307,               0.009307
                      9,                 1.5543,                 1.6789,                 1.6002,                0.54705,                0.52778,                0.55169,                0.35788,                 1.4727,                 1.7028,                 1.5676,               0.009208,               0.009208,               0.009208
                     10,                 1.5331,                 1.6442,                   1.59,                0.53181,                0.53623,                0.55791,                0.36536,                 1.4653,                 1.6069,                 1.5261,               0.009109,               0.009109,               0.009109
                     11,                 1.5252,                 1.6349,                 1.5837,                0.57433,                 0.5253,                0.56934,                0.37315,                 1.4334,                 1.6189,                 1.5264,                0.00901,                0.00901,                0.00901
                     12,                 1.5112,                 1.6103,                 1.5703,                0.56749,                0.54652,                0.58013,                0.38435,                 1.4253,                 1.5934,                 1.5196,               0.008911,               0.008911,               0.008911
                     13,                 1.4976,                 1.5864,                 1.5556,                0.59287,                0.54489,                0.59025,                0.38721,                 1.4266,                 1.5509,                 1.5109,               0.008812,               0.008812,               0.008812
                     14,                  1.482,                 1.5673,                 1.5484,                0.57677,                0.54492,                0.58692,                0.39025,                 1.4149,                 1.5854,                 1.5167,               0.008713,               0.008713,               0.008713
                     15,                   1.48,                 1.5525,                 1.5439,                0.56822,                 0.5654,                 0.5924,                0.39346,                 1.3964,                 1.5093,                 1.4905,               0.008614,               0.008614,               0.008614
                     16,                 1.4673,                 1.5293,                  1.534,                0.57895,                0.56551,                0.59935,                0.39996,                 1.3871,                  1.467,                 1.4905,               0.008515,               0.008515,               0.008515
                     17,                 1.4514,                 1.5075,                 1.5187,                0.59479,                0.57298,                 0.6096,                 0.4094,                  1.373,                 1.4414,                 1.4744,               0.008416,               0.008416,               0.008416
                     18,                 1.4466,                 1.5098,                 1.5158,                0.60368,                0.58067,                 0.6171,                0.41289,                 1.3653,                 1.4113,                 1.4537,               0.008317,               0.008317,               0.008317
                     19,                 1.4324,                  1.474,                 1.5031,                0.61567,                0.56978,                0.62005,                 0.4217,                 1.3482,                 1.4308,                 1.4479,               0.008218,               0.008218,               0.008218
                     20,                  1.425,                 1.4542,                 1.4907,                0.64021,                0.58119,                0.63369,                0.42578,                 1.3438,                 1.3753,                 1.4303,               0.008119,               0.008119,               0.008119
                     21,                 1.4151,                 1.4433,                 1.4829,                0.63218,                0.58189,                0.63459,                0.42926,                 1.3381,                 1.3646,                 1.4348,                0.00802,                0.00802,                0.00802
                     22,                 1.4045,                  1.428,                 1.4799,                0.64673,                0.58049,                 0.6408,                0.43345,                 1.3314,                 1.3331,                 1.4249,               0.007921,               0.007921,               0.007921
                     23,                 1.4018,                 1.4147,                 1.4753,                 0.6171,                0.60239,                 0.6387,                0.43601,                 1.3233,                 1.3306,                 1.4188,               0.007822,               0.007822,               0.007822
                     24,                 1.3867,                 1.3989,                 1.4607,                0.62187,                0.60322,                0.64799,                0.44068,                 1.3161,                 1.3052,                 1.4094,               0.007723,               0.007723,               0.007723
                     25,                 1.3866,                 1.3938,                 1.4616,                0.62717,                0.60815,                0.65179,                0.44513,                 1.3069,                 1.3238,                  1.407,               0.007624,               0.007624,               0.007624
                     26,                 1.3762,                 1.3694,                 1.4515,                0.63788,                0.61208,                0.65375,                0.44684,                 1.3078,                 1.2891,                  1.405,               0.007525,               0.007525,               0.007525
                     27,                 1.3641,                 1.3504,                 1.4386,                0.65456,                0.61275,                0.66712,                0.45677,                 1.3021,                 1.2714,                    1.4,               0.007426,               0.007426,               0.007426
